timestamp,cell_id,rrc_setup_success_rate,handover_success_rate,call_drop_rate,throughput_mbps,prb_utilization,latency_ms,hour,day_of_week,is_weekend,anomaly_label,anomaly_type,true_anomaly,predicted_anomaly,anomaly_score
2026-02-22 11:00:00,CELL_002,98.51992715353326,97.80528084600184,4.326551303099167,21.75198993995852,100.0,77.61026017267882,11,6,1,1,congestion,1,1,0.10581394927506615
2026-02-22 13:00:00,CELL_002,99.08101926385964,97.1556907630281,4.18799332493859,25.13130894477664,90.13744322257014,74.53373112070544,13,6,1,1,congestion,1,1,0.09711994117046219
2026-02-27 12:00:00,CELL_006,97.7790462926169,96.59722586305612,4.091404900662258,19.88561662410304,100.0,80.3843846521001,12,4,0,1,congestion,1,1,0.09486356393911566
2026-02-27 13:00:00,CELL_006,97.89773105480155,96.80998331880544,3.9599444494263167,19.01025740297736,100.0,82.07671147537323,13,4,0,1,congestion,1,1,0.09265526810719682
2026-02-27 16:00:00,CELL_006,97.70300558826813,97.36189168813546,3.751275879314092,22.30169033247701,99.1353824358498,80.25682225992306,16,4,0,1,congestion,1,1,0.09059972336221211
2026-02-22 15:00:00,CELL_002,98.24696345156345,97.96185980301964,4.202303854601584,36.67294674442836,93.14518399738634,71.85616461206645,15,6,1,1,congestion,1,1,0.08960416637871071
2026-02-22 09:00:00,CELL_002,98.83599121486444,97.29213468763096,4.1700769192225415,30.117820171178657,90.37471812309568,73.45884188014807,9,6,1,1,congestion,1,1,0.08868037004134022
2026-02-22 14:00:00,CELL_002,98.44902914947149,97.97726265861117,4.191416925474991,31.88810027248637,97.135465514668,71.66909620409675,14,6,1,1,congestion,1,1,0.08793093998193857
2026-02-27 14:00:00,CELL_006,97.70690601201068,96.83893460090682,3.8488162493770246,18.432554409792512,100.0,79.69676581293581,14,4,0,1,congestion,1,1,0.08716842150088966
2026-02-22 08:00:00,CELL_002,98.94256775147603,98.3047051579154,3.858422157635937,32.68499760769552,76.97551462399599,70.82951438794568,8,6,1,1,congestion,1,1,0.08402242438883112
2026-02-17 13:00:00,CELL_005,97.62323494306814,96.1944516717198,3.1922625405977643,25.71642365796694,100.0,85.71678175184691,13,1,0,1,congestion,1,1,0.08259811375385462
2026-02-22 12:00:00,CELL_002,99.0679694942636,96.9202994437872,4.22383483234032,33.371062631208176,90.98914794517438,68.17535043643902,12,6,1,1,congestion,1,1,0.07881601832552232
2026-02-16 09:00:00,CELL_008,98.94529842356766,85.41680581295579,3.39778959908253,37.53247485917544,74.33710572092752,60.69795477045378,9,0,0,1,handover_degradation,1,1,0.07720004141985803
2026-02-22 10:00:00,CELL_002,98.42481019583276,97.79267608726488,4.013182936580627,33.12631615934929,88.28183358157762,69.71141094926566,10,6,1,1,congestion,1,1,0.07347967226029062
2026-02-17 11:00:00,CELL_005,97.82275374720432,96.65008493890367,3.0741229802644248,26.36502498334413,100.0,85.78192277884602,11,1,0,1,congestion,1,1,0.07060441782992
2026-02-16 10:00:00,CELL_008,98.68395866766114,85.52305378916047,3.94569694977403,40.72503938240484,70.3751130156452,60.348475002551794,10,0,0,1,handover_degradation,1,1,0.06998370642091412
2026-02-27 15:00:00,CELL_006,98.25935548658694,96.9981859750102,3.701459775405476,20.768101363313445,98.92531960583744,74.25835603746418,15,4,0,1,congestion,1,1,0.0698085830878542
2026-02-17 14:00:00,CELL_005,98.14408429149408,96.58434294876338,3.193689621107562,24.069677817388456,100.0,85.51804104422393,14,1,0,1,congestion,1,1,0.06901259659988468
2026-02-17 09:00:00,CELL_005,97.9238286668528,97.2523143515006,2.959195750296709,22.406472939958075,100.0,80.16139181304715,9,1,0,1,congestion,1,1,0.06791133249539427
2026-02-16 15:00:00,CELL_008,98.57662347870172,86.11453665223289,3.919340165486429,54.5399626937248,64.57751160413382,58.22234573128458,15,0,0,1,handover_degradation,1,1,0.06711662900568194
2026-02-17 10:00:00,CELL_005,98.3004180697412,96.41991707559694,2.911307942752842,26.520465908326447,100.0,84.6138222852309,10,1,0,1,congestion,1,1,0.06559441900460572
2026-02-22 07:00:00,CELL_002,98.76360946686472,98.23016942339548,3.546195379215537,36.1778779475304,77.04648905023942,60.09832963315067,7,6,1,1,congestion,1,1,0.06453093086697603
2026-02-16 13:00:00,CELL_008,98.50901082643745,85.45704356918749,3.3811014933491776,42.765688558461854,85.27553033775534,61.778422823882885,13,0,0,1,handover_degradation,1,1,0.06326900494764454
2026-02-17 12:00:00,CELL_005,98.00417788930068,96.35133904173516,2.8728803282300497,27.774624219788475,100.0,85.37504709106672,12,1,0,1,congestion,1,1,0.060046791623893814
2026-02-12 16:00:00,CELL_002,99.10205164964869,97.50981448493796,3.777347004613875,24.906891358723804,95.1477915906791,65.41885077896868,16,3,0,1,congestion,1,1,0.05953786604433431
2026-02-16 16:00:00,CELL_008,98.69107777943644,86.73173807001247,3.588113566622556,54.147138889107886,65.87586273964442,55.27271037138318,16,0,0,1,handover_degradation,1,1,0.05894845952806005
2026-02-14 02:00:00,CELL_007,99.8168550412665,98.97226569188904,3.019156673344657,57.02364011405024,58.21672992581044,57.79144968687165,2,5,1,1,congestion,1,1,0.0586681593849564
2026-02-16 14:00:00,CELL_008,98.55154503359591,86.29180487649144,3.705830641126461,46.97180501653794,73.26422876349136,59.97597962367296,14,0,0,1,handover_degradation,1,1,0.058571243141084195
2026-02-12 15:00:00,CELL_002,98.44997567695434,97.58483453226135,3.595522525973008,26.74102970036044,100.0,68.28246690629638,15,3,0,1,congestion,1,1,0.052255836315939996
2026-02-16 11:00:00,CELL_008,98.54528626385913,86.23798214358055,3.860519146112856,42.11732500615785,74.58009681862909,57.26069954484706,11,0,0,1,handover_degradation,1,1,0.051728041044295736
2026-02-16 12:00:00,CELL_008,98.32572010774054,86.84605911065792,3.895135641465832,39.92014099439265,76.17735612514451,59.60314433457126,12,0,0,1,handover_degradation,1,1,0.05141482160637911
2026-02-14 03:00:00,CELL_007,99.7770191224906,99.05494112414378,2.904699652357009,51.13024605555383,52.65917581705331,54.08593854238051,3,5,1,1,congestion,1,1,0.04694072499336732
2026-02-17 18:00:00,CELL_006,89.18583943919666,97.6290436108642,2.2357113714522443,47.06045303382961,50.94248713016214,30.35679352260912,18,1,0,1,rrc_degradation,1,1,0.04617518531624332
2026-02-14 04:00:00,CELL_007,99.29389091288829,97.87019702445738,3.224781356020033,51.251335191508936,67.45567044746662,60.24304243729699,4,5,1,1,congestion,1,1,0.04385864860927324
2026-02-23 08:00:00,CELL_002,98.9096517498416,86.95517801783265,2.202633100765066,52.59185003663731,66.10358381343404,54.49610117317577,8,0,0,1,handover_degradation,1,1,0.04213414575244179
2026-02-23 12:00:00,CELL_002,98.38707602393744,86.34380824155883,2.371536161224169,35.83843667982749,83.47562447132245,61.05415468741809,12,0,0,1,handover_degradation,1,1,0.04128236531152374
2026-02-28 10:00:00,CELL_004,97.64182431609473,96.21617920438251,1.2896591221044444,9.4382415706094,63.69539743503269,69.28375103714987,10,5,1,1,throughput_drop,1,1,0.041273223447204854
2026-02-17 08:00:00,CELL_005,98.20673254531218,97.03740538757076,2.718353499716522,32.083953746848465,95.89119076168396,81.29786170957685,8,1,0,1,congestion,1,1,0.041254766246102914
2026-02-18 22:00:00,CELL_001,100.0,98.47314950764388,3.3681262752751,55.077101422879565,54.408014184600376,54.940342532053776,22,2,0,1,congestion,1,1,0.03978355501544051
2026-02-17 17:00:00,CELL_006,89.67173063023903,96.98337756843895,2.249085968751067,53.940689085247335,67.44163738880387,39.99690678488247,17,1,0,1,rrc_degradation,1,1,0.038286290960736546
2026-03-01 00:00:00,CELL_002,99.99943072605464,98.55119027733512,0.0,95.22457234391088,16.139056998298017,18.654463265176982,0,6,1,0,normal,0,1,0.03742609426473076
2026-02-23 10:00:00,CELL_002,98.60196943559735,87.10977173847743,2.4507424598432026,43.80002193962746,73.78262856432502,55.28129470495183,10,0,0,1,handover_degradation,1,1,0.03590633924923825
2026-02-17 15:00:00,CELL_005,98.40449680295325,96.78385325689584,2.6766284688332167,28.832940862654016,90.9304301256644,80.46528159625692,15,1,0,1,congestion,1,1,0.03502211747647899
2026-02-21 23:00:00,CELL_001,100.0,99.06704462303831,0.0419696023849201,93.28104126028649,27.44987517605441,17.005363224465786,23,5,1,0,normal,0,1,0.03428806023470643
2026-02-19 01:00:00,CELL_001,99.32543698981208,99.03146341858616,3.5172466525746464,50.00796194248706,63.16799866830142,60.12439423215101,1,3,0,1,congestion,1,1,0.03413054550443162
2026-02-28 09:00:00,CELL_004,98.48153979612488,97.12061421424464,1.3534915608141065,10.532120326458497,59.04112676257301,75.23935730245333,9,5,1,1,throughput_drop,1,1,0.033144034417179946
2026-02-23 09:00:00,CELL_002,98.44283707486998,86.70833006667993,2.241739217898456,46.01710080204942,74.159242232117,54.89031924335573,9,0,0,1,handover_degradation,1,1,0.032205560608741135
2026-02-18 23:00:00,CELL_001,99.53574949083114,98.62582126288032,3.3512504882696743,52.05341146215793,57.6726916053686,53.37095604534039,23,2,0,1,congestion,1,1,0.028551140757920535
2026-02-22 00:00:00,CELL_002,100.0,99.54533621901275,0.1208095323730501,86.68225083773451,26.70192567296385,26.44885250879122,0,6,1,0,normal,0,1,0.028515254657686562
2026-02-22 11:00:00,CELL_003,97.97311109122764,96.42663285057618,1.3006966951284884,20.24111184470858,81.49427068406682,62.855456684167976,11,6,1,1,throughput_drop,1,1,0.026744221554327652
